,Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0,team_name
240,A Mishra,2008-2021,99,32,15,185,31,10.88,85.25,-,-,3, Delhi Capitals
241,Mohammad Asif,2008-2008,8,2,-,3,3,1.50,50.00,-,-,1, Delhi Capitals
242,Mohammed Shami,2014-2018,32,13,6,48,21,6.85,117.07,-,-,1, Delhi Capitals
243,JA Morkel,2015-2015,4,3,2,86,73*,86.00,132.30,-,1,-, Delhi Capitals
244,M Morkel,2011-2013,37,15,6,100,23*,11.11,169.49,-,-,5, Delhi Capitals
245,CH Morris,2016-2019,34,26,11,427,82*,28.46,160.52,-,2,4, Delhi Capitals
246,Mukesh Kumar,2023-2024,20,5,4,10,6*,10.00,55.55,-,-,-, Delhi Capitals
247,C Munro,2018-2019,9,9,-,147,40,16.33,132.43,-,-,2, Delhi Capitals
248,Mustafizur Rahman,2022-2023,10,2,2,4,3*,0.00,66.66,-,-,-, Delhi Capitals
249,DJ Muthuswami,2015-2015,6,2,1,1,1,1.00,33.33,-,-,-, Delhi Capitals
250,S Nadeem,2011-2018,61,19,7,32,6*,2.66,41.02,-,-,5, Delhi Capitals
251,Y Nagar,2009-2012,26,20,6,285,44*,20.35,110.03,-,-,2, Delhi Capitals
252,KL Nagarkoti,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-, Delhi Capitals
253,KK Nair,2016-2017,28,25,2,638,83*,27.73,121.98,-,4,1, Delhi Capitals
254,DP Nannes,2009-2010,22,2,1,4,3,4.00,30.76,-,-,-, Delhi Capitals
255,JDS Neesham,2014-2014,4,3,-,42,22,14.00,91.30,-,-,-, Delhi Capitals
256,P Negi,2012-2016,17,10,6,93,19*,23.25,105.68,-,-,-, Delhi Capitals
257,A Nehra,2009-2013,27,8,3,25,22*,5.00,86.20,-,-,3, Delhi Capitals
258,A Nortje,2020-2024,46,15,9,49,23*,8.16,100.00,-,-,2, Delhi Capitals
259,NV Ojha,2011-2018,35,33,7,425,64*,16.34,106.51,-,1,2, Delhi Capitals
260,MK Pandey,2023-2023,10,9,-,160,50,17.77,109.58,-,1,2, Delhi Capitals
261,RR Pant,2016-2024,111,110,17,3284,128*,35.31,148.93,1,18,4, Delhi Capitals
262,WD Parnell,2014-2014,8,2,1,2,2,2.00,100.00,-,-,-, Delhi Capitals
263,AR Patel,2019-2024,82,62,21,967,66,23.58,134.11,-,3,3, Delhi Capitals
264,HV Patel,2018-2020,12,6,2,81,36*,20.25,137.28,-,-,1, Delhi Capitals
265,RV Patel,2021-2023,9,7,2,80,23,16.00,109.58,-,-,-, Delhi Capitals
266,IK Pathan,2011-2013,46,37,14,468,44*,20.34,112.50,-,-,2, Delhi Capitals
267,KMA Paul,2019-2019,8,6,1,18,7,3.60,75.00,-,-,2, Delhi Capitals
268,KP Pietersen,2012-2014,19,19,4,599,103*,39.93,136.13,1,2,1, Delhi Capitals
269,LE Plunkett,2018-2018,7,2,1,1,1*,1.00,33.33,-,-,1, Delhi Capitals
270,R Powell,2022-2023,17,15,2,257,67*,19.76,146.02,-,1,2, Delhi Capitals
271,K Rabada,2017-2021,50,18,8,138,44,13.80,102.98,-,-,3, Delhi Capitals
272,AM Rahane,2020-2021,11,9,-,121,60,13.44,105.21,-,1,2, Delhi Capitals
273,Rasikh Salam,2024-2024,8,4,-,28,10,7.00,93.33,-,-,-, Delhi Capitals
274,JA Richardson,2024-2024,1,1,-,2,2,2.00,100.00,-,-,-, Delhi Capitals
275,BJ Rohrer,2013-2013,8,8,2,193,64*,32.16,137.85,-,1,-, Delhi Capitals
276,RR Rossouw,2023-2023,9,9,2,209,82*,29.85,148.22,-,1,2, Delhi Capitals
277,JJ Roy,2018-2018,5,5,1,120,91*,30.00,127.65,-,1,-, Delhi Capitals
