,Player,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,team_name
1167,C Green,2024-2024,13,13,211,-,303,10,2/12,30.30,8.61,21.1,-,-,5,-, Royal Challengers Bengaluru
1168,Gurkeerat Singh,2019-2020,11,-,0,-,-,-,-,0.00,-,-,-,-,6,-, Royal Challengers Bengaluru
1169,JR Hazlewood,2022-2023,15,15,333,1,453,23,4/25,19.69,8.16,14.4,-,-,1,-, Royal Challengers Bengaluru
1170,TM Head,2016-2017,10,5,48,-,81,2,2/30,40.50,10.12,24.0,-,-,3,-, Royal Challengers Bengaluru
1171,MC Henriques,2013-2013,10,8,127,-,185,7,2/14,26.42,8.74,18.1,-,-,5,-, Royal Challengers Bengaluru
1172,SO Hetmyer,2019-2019,5,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Royal Challengers Bengaluru
1173,Iqbal Abdulla,2015-2017,15,15,294,1,418,12,3/40,34.83,8.53,24.5,-,-,5,-, Royal Challengers Bengaluru
1174,WG Jacks,2024-2024,8,5,54,-,100,2,1/23,50.00,11.11,27.0,-,-,3,-, Royal Challengers Bengaluru
1175,KM Jadhav,2016-2023,19,-,0,-,-,-,-,0.00,-,-,-,-,9,3, Royal Challengers Bengaluru
1176,W Jaffer,2008-2009,8,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Royal Challengers Bengaluru
1177,SB Jakati,2014-2014,1,1,22,-,41,-,-,0.00,11.18,-,-,-,-,-, Royal Challengers Bengaluru
1178,KA Jamieson,2021-2021,9,9,168,-,269,9,3/41,29.88,9.60,18.6,-,-,2,-, Royal Challengers Bengaluru
1179,CJ Jordan,2016-2016,9,9,168,-,258,11,4/11,23.45,9.21,15.2,-,-,4,-, Royal Challengers Bengaluru
1180,AS Joseph,2024-2024,3,3,58,-,115,1,1/43,115.00,11.89,58.0,-,-,-,-, Royal Challengers Bengaluru
1181,SB Joshi,2008-2008,4,4,55,-,82,1,1/27,82.00,8.94,55.0,-,-,-,-, Royal Challengers Bengaluru
1182,M Kaif,2011-2012,9,-,0,-,-,-,-,0.00,-,-,-,-,5,-, Royal Challengers Bengaluru
1183,JH Kallis,2008-2010,42,41,824,2,1140,23,2/3,49.56,8.30,35.8,-,-,15,-, Royal Challengers Bengaluru
1184,KD Karthik,2015-2024,60,-,0,-,-,-,-,0.00,-,-,-,-,36,9, Royal Challengers Bengaluru
1185,M Kartik,2013-2013,11,11,234,-,284,9,2/24,31.55,7.28,26.0,-,-,4,-, Royal Challengers Bengaluru
1186,S Kaul,2022-2022,1,1,24,-,43,-,-,0.00,10.75,-,-,-,-,-, Royal Challengers Bengaluru
1187,AA Kazi,2011-2011,1,1,12,-,21,-,-,0.00,10.50,-,-,-,-,-, Royal Challengers Bengaluru
1188,SN Khan,2015-2018,25,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Royal Challengers Bengaluru
1189,Z Khan,2008-2013,44,43,1002,2,1312,49,4/17,26.77,7.85,20.4,-,-,11,-, Royal Challengers Bengaluru
1190,K Khejroliya,2018-2019,5,5,95,-,153,3,2/33,51.00,9.66,31.6,-,-,-,-, Royal Challengers Bengaluru
1191,H Klaasen,2019-2019,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Royal Challengers Bengaluru
1192,V Kohli,2008-2024,252,26,251,-,368,4,2/25,92.00,8.79,62.7,-,-,114,-, Royal Challengers Bengaluru
1193,P Kumar,2008-2010,38,38,836,2,1140,34,3/18,33.52,8.18,24.5,-,-,5,-, Royal Challengers Bengaluru
1194,A Kumble,2008-2010,42,42,965,1,1058,45,5/5,23.51,6.57,21.4,1,-,10,-, Royal Challengers Bengaluru
1195,CK Langeveldt,2011-2011,3,3,66,-,84,5,2/10,16.80,7.63,13.2,-,-,-,-, Royal Challengers Bengaluru
1196,MK Lomror,2022-2024,29,5,30,-,53,-,-,0.00,10.60,-,-,-,9,-, Royal Challengers Bengaluru
1197,BB McCullum,2018-2018,6,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Royal Challengers Bengaluru
1198,AB McDonald,2012-2013,5,4,72,-,78,6,2/25,13.00,6.50,12.0,-,-,-,-, Royal Challengers Bengaluru
1199,NJ Maddinson,2014-2015,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Royal Challengers Bengaluru
1200,Mandeep Singh,2015-2018,40,-,0,-,-,-,-,0.00,-,-,-,-,18,-, Royal Challengers Bengaluru
1201,GJ Maxwell,2021-2024,52,29,398,1,523,18,2/22,29.05,7.88,22.1,-,-,17,-, Royal Challengers Bengaluru
1202,TS Mills,2017-2017,5,5,107,-,153,5,2/31,30.60,8.57,21.4,-,-,1,-, Royal Challengers Bengaluru
1203,AF Milne,2016-2017,5,5,108,-,177,4,2/27,44.25,9.83,27.0,-,-,5,-, Royal Challengers Bengaluru
1204,Misbah-ul-Haq,2008-2008,8,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Royal Challengers Bengaluru
1205,A Mithun,2009-2013,16,16,288,-,472,7,2/37,67.42,9.83,41.1,-,-,7,-, Royal Challengers Bengaluru
1206,Mohammed Siraj,2018-2024,87,87,1820,4,2610,83,4/21,31.44,8.60,21.9,-,-,28,-, Royal Challengers Bengaluru
1207,EJG Morgan,2010-2010,6,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Royal Challengers Bengaluru
1208,JA Morkel,2014-2014,7,6,96,-,126,4,1/18,31.50,7.87,24.0,-,-,2,-, Royal Challengers Bengaluru
1209,CH Morris,2020-2020,9,9,190,1,210,11,4/26,19.09,6.63,17.2,-,-,7,-, Royal Challengers Bengaluru
1210,A Mukund,2013-2013,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Royal Challengers Bengaluru
1211,M Muralidaran,2012-2014,21,21,474,-,561,21,3/21,26.71,7.10,22.5,-,-,3,-, Royal Challengers Bengaluru
1212,KK Nair,2013-2013,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Royal Challengers Bengaluru
1213,DP Nannes,2011-2011,2,2,24,1,31,2,1/0,15.50,7.75,12.0,-,-,1,-, Royal Challengers Bengaluru
1214,P Negi,2017-2019,21,18,284,-,348,20,3/10,17.40,7.35,14.2,-,-,6,-, Royal Challengers Bengaluru
1215,R Ninan,2011-2011,2,2,36,-,65,3,2/31,21.66,10.83,12.0,-,-,1,-, Royal Challengers Bengaluru
1216,AA Noffke,2008-2008,1,1,24,-,40,1,1/40,40.00,10.00,24.0,-,-,-,-, Royal Challengers Bengaluru
1217,D Padikkal,2020-2021,29,-,0,-,-,-,-,0.00,-,-,-,-,15,-, Royal Challengers Bengaluru
1218,MK Pandey,2009-2010,18,-,0,-,-,-,-,0.00,-,-,-,-,10,-, Royal Challengers Bengaluru
1219,Pankaj Singh,2009-2010,5,5,90,1,146,4,2/27,36.50,9.73,22.5,-,-,1,-, Royal Challengers Bengaluru
1220,P Parameswaran,2012-2012,3,3,60,-,87,5,3/30,17.40,8.70,12.0,-,-,1,-, Royal Challengers Bengaluru
1221,WD Parnell,2023-2023,7,7,151,-,236,9,3/10,26.22,9.37,16.7,-,-,4,-, Royal Challengers Bengaluru
1222,Parvez Rasool,2016-2016,4,4,84,-,129,1,1/31,129.00,9.21,84.0,-,-,2,-, Royal Challengers Bengaluru
1223,HV Patel,2012-2023,80,77,1624,2,2294,99,5/27,23.17,8.47,16.4,1,-,19,-, Royal Challengers Bengaluru
1224,PA Patel,2014-2019,32,-,0,-,-,-,-,0.00,-,-,-,-,20,3, Royal Challengers Bengaluru
1225,AUK Pathan,2011-2012,8,3,39,-,63,-,-,0.00,9.69,-,-,-,2,-, Royal Challengers Bengaluru
1226,RM Patidar,2021-2024,27,-,0,-,-,-,-,0.00,-,-,-,-,8,-, Royal Challengers Bengaluru
1227,DT Patil,2008-2008,2,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Royal Challengers Bengaluru
1228,JR Philippe,2020-2020,5,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Royal Challengers Bengaluru
1229,KP Pietersen,2009-2010,13,10,138,-,162,7,2/31,23.14,7.04,19.7,-,-,6,-, Royal Challengers Bengaluru
1230,LA Pomersbach,2011-2011,5,-,0,-,-,-,-,0.00,-,-,-,-,5,-, Royal Challengers Bengaluru
1231,SS Prabhudessai,2022-2024,11,-,0,-,-,-,-,0.00,-,-,-,-,6,-, Royal Challengers Bengaluru
1232,CA Pujara,2011-2013,14,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Royal Challengers Bengaluru
1233,KL Rahul,2013-2016,19,-,0,-,-,-,-,0.00,-,-,-,-,7,4, Royal Challengers Bengaluru
1234,R Rampaul,2013-2014,12,12,262,4,298,14,3/31,21.28,6.82,18.7,-,-,4,-, Royal Challengers Bengaluru
1235,S Rana,2014-2014,9,2,12,-,16,-,-,0.00,8.00,-,-,-,3,-, Royal Challengers Bengaluru
1236,P Ray Barman,2019-2019,1,1,24,-,56,-,-,0.00,14.00,-,-,-,-,-, Royal Challengers Bengaluru
1237,KW Richardson,2016-2021,5,5,102,-,165,8,3/13,20.62,9.70,12.7,-,-,3,-, Royal Challengers Bengaluru
1238,RR Rossouw,2014-2015,5,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Royal Challengers Bengaluru
1239,SE Rutherford,2022-2022,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Royal Challengers Bengaluru
1240,JD Ryder,2009-2009,5,5,102,-,115,3,2/14,38.33,6.76,34.0,-,-,2,-, Royal Challengers Bengaluru
1241,Sachin Baby,2016-2021,15,2,10,-,8,2,2/4,4.00,4.80,5.0,-,-,3,-, Royal Challengers Bengaluru
1242,Shahbaz Ahmed,2020-2023,39,27,372,-,567,14,3/7,40.50,9.14,26.5,-,-,18,-, Royal Challengers Bengaluru
1243,NA Saini,2019-2021,28,28,586,1,828,17,2/24,48.70,8.47,34.4,-,-,6,-, Royal Challengers Bengaluru
1244,DJG Sammy,2015-2015,2,2,18,-,25,-,-,0.00,8.33,-,-,-,1,-, Royal Challengers Bengaluru
1245,DR Sams,2021-2021,2,2,36,-,39,1,1/24,39.00,6.50,36.0,-,-,-,-, Royal Challengers Bengaluru
1246,T Shamsi,2016-2016,4,4,96,-,147,3,1/21,49.00,9.18,32.0,-,-,1,-, Royal Challengers Bengaluru
1247,H Sharma,2023-2024,2,2,30,-,57,-,-,0.00,11.40,-,-,-,-,-, Royal Challengers Bengaluru
1248,KV Sharma,2009-2024,17,16,273,-,477,17,2/19,28.05,10.48,16.0,-,-,6,-, Royal Challengers Bengaluru
1249,RP Singh,2013-2013,11,11,239,-,335,13,3/13,25.76,8.41,18.3,-,-,4,-, Royal Challengers Bengaluru
1250,TG Southee,2018-2019,11,11,228,-,379,6,3/30,63.16,9.97,38.0,-,-,6,-, Royal Challengers Bengaluru
1251,S Sriram,2010-2010,1,1,12,-,24,-,-,0.00,12.00,-,-,-,-,-, Royal Challengers Bengaluru
1252,B Stanlake,2017-2017,2,2,48,-,70,2,2/29,35.00,8.75,24.0,-,-,1,-, Royal Challengers Bengaluru
1253,MA Starc,2014-2015,27,26,580,1,693,34,4/15,20.38,7.16,17.0,-,-,16,-, Royal Challengers Bengaluru
1254,DW Steyn,2008-2020,33,33,754,1,922,32,3/18,28.81,7.33,23.5,-,-,7,-, Royal Challengers Bengaluru
1255,MP Stoinis,2019-2019,10,6,100,-,145,2,1/13,72.50,8.70,50.0,-,-,2,-, Royal Challengers Bengaluru
1256,Swapnil Singh,2024-2024,7,7,90,-,133,6,2/28,22.16,8.86,15.0,-,-,2,-, Royal Challengers Bengaluru
1257,J Syed Mohammad,2011-2013,11,11,192,-,283,8,2/15,35.37,8.84,24.0,-,-,1,-, Royal Challengers Bengaluru
1258,YV Takawale,2014-2014,5,-,0,-,-,-,-,0.00,-,-,-,-,2,1, Royal Challengers Bengaluru
1259,LRPL Taylor,2008-2010,22,1,6,-,13,-,-,0.00,13.00,-,-,-,7,-, Royal Challengers Bengaluru
1260,SS Tiwary,2011-2013,40,-,0,-,-,-,-,0.00,-,-,-,-,10,-, Royal Challengers Bengaluru
1261,RJW Topley,2023-2024,5,5,102,-,182,5,2/27,36.40,10.70,20.4,-,-,1,-, Royal Challengers Bengaluru
1262,I Udana,2020-2020,10,10,174,-,282,8,2/41,35.25,9.72,21.7,-,-,3,-, Royal Challengers Bengaluru
1263,JD Unadkat,2013-2013,13,13,294,-,370,13,5/25,28.46,7.55,22.6,1,-,1,-, Royal Challengers Bengaluru
1264,RV Uthappa,2009-2010,31,-,0,-,-,-,-,0.00,-,-,-,-,14,4, Royal Challengers Bengaluru
1265,RE van der Merwe,2009-2010,11,11,228,-,275,11,2/22,25.00,7.23,20.7,-,-,5,-, Royal Challengers Bengaluru
1266,JJ van der Wath,2011-2011,3,3,72,-,129,3,2/49,43.00,10.75,24.0,-,-,-,-, Royal Challengers Bengaluru
1267,DL Vettori,2011-2012,22,22,520,-,547,17,3/19,32.17,6.31,30.5,-,-,7,-, Royal Challengers Bengaluru
1268,R Vinay Kumar,2008-2013,64,63,1306,-,1822,72,4/40,25.30,8.37,18.1,-,-,22,-, Royal Challengers Bengaluru
1269,Vishnu Vinod,2017-2017,3,-,0,-,-,-,-,0.00,-,-,-,-,-,2, Royal Challengers Bengaluru
1270,M Vohra,2018-2018,4,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Royal Challengers Bengaluru
1271,V Vyshak,2023-2024,11,11,231,-,395,13,3/20,30.38,10.25,17.7,-,-,4,-, Royal Challengers Bengaluru
1272,Washington Sundar,2018-2021,31,31,570,1,682,19,3/24,35.89,7.17,30.0,-,-,4,-, Royal Challengers Bengaluru
1273,SR Watson,2016-2017,24,24,500,-,730,25,4/29,29.20,8.76,20.0,-,-,8,-, Royal Challengers Bengaluru
1274,CL White,2008-2010,15,2,12,-,43,-,-,0.00,21.50,-,-,-,7,-, Royal Challengers Bengaluru
1275,D Wiese,2015-2016,15,14,278,-,402,16,4/33,25.12,8.67,17.3,-,-,6,-, Royal Challengers Bengaluru
1276,DJ Willey,2022-2023,8,8,156,1,177,4,2/16,44.25,6.80,39.0,-,-,2,-, Royal Challengers Bengaluru
1277,CR Woakes,2018-2018,5,5,110,-,190,8,3/36,23.75,10.36,13.7,-,-,1,-, Royal Challengers Bengaluru
1278,UT Yadav,2018-2020,27,27,588,1,872,28,3/23,31.14,8.89,21.0,-,-,6,-, Royal Challengers Bengaluru
1279,Yash Dayal,2024-2024,14,14,301,-,459,15,3/20,30.60,9.14,20.0,-,-,3,-, Royal Challengers Bengaluru
1280,Yuvraj Singh,2014-2014,14,10,136,-,187,5,4/35,37.40,8.25,27.2,-,-,4,-, Royal Challengers Bengaluru
1281,A Zampa,2020-2020,3,3,66,-,92,2,1/12,46.00,8.36,33.0,-,-,1,-, Royal Challengers Bengaluru
1282,VH Zol,2014-2014,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Royal Challengers Bengaluru
1283,SA Abbott,2022-2022,1,1,24,-,47,1,1/47,47.00,11.75,24.0,-,-,1,-, Sunrisers Hyderabad
1284,Abdul Samad,2020-2024,50,5,54,-,113,2,1/9,56.50,12.55,27.0,-,-,27,-, Sunrisers Hyderabad
1285,Abhishek Sharma,2019-2024,60,26,270,-,389,11,2/4,35.36,8.64,24.5,-,-,16,-, Sunrisers Hyderabad
1286,MA Agarwal,2023-2024,14,-,0,-,-,-,-,0.00,-,-,-,-,8,-, Sunrisers Hyderabad
1287,KK Ahmed,2018-2021,24,24,543,-,786,32,3/21,24.56,8.68,16.9,-,-,1,-, Sunrisers Hyderabad
1288,Anand Rajan,2013-2013,2,2,48,-,42,2,1/20,21.00,5.25,24.0,-,-,1,-, Sunrisers Hyderabad
1289,S Anirudha,2014-2014,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Sunrisers Hyderabad
1290,Ankit Sharma,2013-2013,1,1,12,-,17,-,-,0.00,8.50,-,-,-,1,-, Sunrisers Hyderabad
1291,Anmolpreet Singh,2023-2024,6,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Sunrisers Hyderabad
1292,A Ashish Reddy,2013-2016,22,11,99,-,159,7,1/7,22.71,9.63,14.1,-,-,9,-, Sunrisers Hyderabad
1293,JM Bairstow,2019-2021,28,-,0,-,-,-,-,0.00,-,-,-,-,18,4, Sunrisers Hyderabad
1294,Basil Thampi,2018-2020,8,8,157,-,270,6,2/4,45.00,10.31,26.1,-,-,2,-, Sunrisers Hyderabad
1295,RK Bhui,2018-2019,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Sunrisers Hyderabad
1296,Bipul Sharma,2015-2017,18,16,224,-,300,9,2/13,33.33,8.03,24.8,-,-,3,-, Sunrisers Hyderabad
1297,RS Bopara,2015-2015,9,7,120,-,160,6,2/18,26.66,8.00,20.0,-,-,2,-, Sunrisers Hyderabad
1298,TA Boult,2015-2016,8,8,192,-,275,10,3/19,27.50,8.59,19.2,-,-,3,-, Sunrisers Hyderabad
1299,CR Brathwaite,2018-2018,4,4,61,-,94,5,2/15,18.80,9.24,12.2,-,-,2,-, Sunrisers Hyderabad
1300,HC Brook,2023-2023,11,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Sunrisers Hyderabad
1301,PJ Cummins,2024-2024,16,16,366,1,566,18,3/43,31.44,9.27,20.3,-,-,7,-, Sunrisers Hyderabad
1302,BCJ Cutting,2016-2017,8,8,143,-,203,6,2/20,33.83,8.51,23.8,-,-,2,-, Sunrisers Hyderabad
1303,MJ Dagar,2023-2023,3,3,66,-,83,1,1/37,83.00,7.54,66.0,-,-,-,-, Sunrisers Hyderabad
1304,Q de Kock,2013-2013,3,-,0,-,-,-,-,0.00,-,-,-,-,3,1, Sunrisers Hyderabad
1305,S Dhawan,2013-2018,85,-,0,-,-,-,-,0.00,-,-,-,-,38,-, Sunrisers Hyderabad
1306,Fazalhaq Farooqi,2022-2023,7,7,152,-,227,6,2/32,37.83,8.96,25.3,-,-,1,-, Sunrisers Hyderabad
1307,AJ Finch,2014-2014,13,-,0,-,-,-,-,0.00,-,-,-,-,6,-, Sunrisers Hyderabad
1308,PK Garg,2020-2022,21,-,0,-,-,-,-,0.00,-,-,-,-,9,-, Sunrisers Hyderabad
1309,S Gopal,2022-2022,1,1,18,-,34,1,1/34,34.00,11.33,18.0,-,-,-,-, Sunrisers Hyderabad
1310,SP Goswami,2018-2020,8,-,0,-,-,-,-,0.00,-,-,-,-,6,-, Sunrisers Hyderabad
1311,MJ Guptill,2019-2019,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Sunrisers Hyderabad
1312,AD Hales,2018-2018,6,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Sunrisers Hyderabad
1313,TM Head,2024-2024,15,1,10,-,32,-,-,0.00,19.20,-,-,-,-,-, Sunrisers Hyderabad
1314,MC Henriques,2014-2017,42,42,666,-,917,28,3/16,32.75,8.26,23.7,-,-,18,-, Sunrisers Hyderabad
1315,JO Holder,2014-2021,16,16,377,-,515,31,4/52,16.61,8.19,12.1,-,-,4,-, Sunrisers Hyderabad
1316,DJ Hooda,2016-2019,47,13,132,-,184,6,2/16,30.66,8.36,22.0,-,-,21,-, Sunrisers Hyderabad
1317,AJ Hosein,2023-2023,1,1,24,-,40,1,1/40,40.00,10.00,24.0,-,-,-,-, Sunrisers Hyderabad
1318,KM Jadhav,2021-2021,6,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Sunrisers Hyderabad
1319,M Jansen,2022-2024,19,19,414,1,670,18,3/25,37.22,9.71,23.0,-,-,12,-, Sunrisers Hyderabad
1320,CJ Jordan,2017-2018,2,2,30,-,40,1,1/9,40.00,8.00,30.0,-,-,-,-, Sunrisers Hyderabad
1321,Kartik Tyagi,2022-2023,5,5,85,-,171,2,1/30,85.50,12.07,42.5,-,-,-,-, Sunrisers Hyderabad
1322,S Kaul,2017-2021,43,43,976,1,1400,52,4/29,26.92,8.60,18.7,-,-,7,-, Sunrisers Hyderabad
1323,H Klaasen,2023-2024,28,-,0,-,-,-,-,0.00,-,-,-,-,11,3, Sunrisers Hyderabad
1324,B Kumar,2014-2024,145,145,3268,12,4210,157,5/19,26.81,7.72,20.8,2,-,29,-, Sunrisers Hyderabad
1325,P Kumar,2015-2015,12,12,216,-,329,7,2/35,47.00,9.13,30.8,-,-,3,-, Sunrisers Hyderabad
1326,M Markande,2023-2024,17,17,360,-,559,20,4/15,27.95,9.31,18.0,-,-,3,-, Sunrisers Hyderabad
1327,AK Markram,2022-2024,38,12,97,-,149,2,1/8,74.50,9.21,48.5,-,-,22,-, Sunrisers Hyderabad
1328,MR Marsh,2020-2020,1,1,4,-,6,-,-,0.00,9.00,-,-,-,-,-, Sunrisers Hyderabad
1329,A Mishra,2013-2014,27,27,597,1,734,28,4/19,26.21,7.37,21.3,-,-,2,-, Sunrisers Hyderabad
1330,Mohammad Nabi,2017-2021,17,17,343,-,408,13,4/11,31.38,7.13,26.3,-,-,11,-, Sunrisers Hyderabad
1331,Mohammed Siraj,2017-2017,6,6,138,-,212,10,4/32,21.20,9.21,13.8,-,-,1,-, Sunrisers Hyderabad
1332,EJG Morgan,2015-2016,16,-,0,-,-,-,-,0.00,-,-,-,-,8,-, Sunrisers Hyderabad
1333,Mujeeb Ur Rahman,2021-2021,1,1,24,-,29,2,2/29,14.50,7.25,12.0,-,-,-,-, Sunrisers Hyderabad
1334,Mustafizur Rahman,2016-2017,17,17,382,1,455,17,3/16,26.76,7.14,22.4,-,-,2,-, Sunrisers Hyderabad
1335,S Nadeem,2019-2021,11,11,210,-,304,8,2/19,38.00,8.68,26.2,-,-,2,-, Sunrisers Hyderabad
1336,T Natarajan,2020-2024,55,55,1261,2,1854,65,4/19,28.52,8.82,19.4,-,-,9,-, Sunrisers Hyderabad
1337,A Nehra,2016-2017,14,14,283,1,396,17,3/15,23.29,8.39,16.6,-,-,2,-, Sunrisers Hyderabad
1338,K Nitish Kumar Reddy,2023-2024,15,9,109,-,207,3,2/17,69.00,11.39,36.3,-,-,6,-, Sunrisers Hyderabad
1339,NV Ojha,2014-2017,56,-,0,-,-,-,-,0.00,-,-,-,-,36,2, Sunrisers Hyderabad
1340,MK Pandey,2018-2021,51,-,0,-,-,-,-,0.00,-,-,-,-,28,-, Sunrisers Hyderabad
1341,Parvez Rasool,2014-2015,5,5,84,-,114,2,1/20,57.00,8.14,42.0,-,-,1,-, Sunrisers Hyderabad
1342,PA Patel,2013-2013,13,-,0,-,-,-,-,0.00,-,-,-,-,5,3, Sunrisers Hyderabad
1343,IK Pathan,2014-2014,10,10,142,-,205,4,2/10,51.25,8.66,35.5,-,-,2,-, Sunrisers Hyderabad
1344,YK Pathan,2018-2019,25,2,18,-,22,1,1/14,22.00,7.33,18.0,-,-,4,-, Sunrisers Hyderabad
1345,NLTC Perera,2013-2013,16,16,358,-,478,19,3/20,25.15,8.01,18.8,-,-,5,-, Sunrisers Hyderabad
1346,GD Phillips,2023-2023,5,2,18,-,20,1,1/10,20.00,6.66,18.0,-,-,1,-, Sunrisers Hyderabad
1347,N Pooran,2022-2022,14,-,0,-,-,-,-,0.00,-,-,-,-,8,1, Sunrisers Hyderabad
1348,KL Rahul,2014-2015,20,-,0,-,-,-,-,0.00,-,-,-,-,5,-, Sunrisers Hyderabad
1349,AU Rashid,2023-2023,2,2,42,-,56,2,2/23,28.00,8.00,21.0,-,-,-,-, Sunrisers Hyderabad
1350,Rashid Khan,2017-2021,76,76,1812,4,1912,93,3/7,20.55,6.33,19.4,-,-,20,-, Sunrisers Hyderabad
1351,DB Ravi Teja,2013-2013,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Sunrisers Hyderabad
1352,PA Reddy,2013-2013,7,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Sunrisers Hyderabad
1353,JJ Roy,2021-2021,5,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Sunrisers Hyderabad
1354,WP Saha,2018-2021,29,-,0,-,-,-,-,0.00,-,-,-,-,16,3, Sunrisers Hyderabad
1355,Shahbaz Ahmed,2024-2024,16,15,165,-,270,7,3/23,38.57,9.81,23.5,-,-,3,-, Sunrisers Hyderabad
1356,BB Samantray,2013-2013,8,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Sunrisers Hyderabad
1357,DJG Sammy,2013-2014,20,17,218,-,325,11,4/22,29.54,8.94,19.8,-,-,8,-, Sunrisers Hyderabad
1358,Sandeep Sharma,2018-2021,43,43,973,-,1262,41,3/19,30.78,7.78,23.7,-,-,4,-, Sunrisers Hyderabad
1359,KC Sangakkara,2013-2013,9,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Sunrisers Hyderabad
1360,Sanvir Singh,2023-2024,6,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Sunrisers Hyderabad
1361,V Shankar,2017-2021,33,15,193,-,252,8,2/19,31.50,7.83,24.1,-,-,15,-, Sunrisers Hyderabad
1362,Shakib Al Hasan,2018-2019,20,20,407,-,551,16,2/18,34.43,8.12,25.4,-,-,3,-, Sunrisers Hyderabad
1363,I Sharma,2013-2015,23,23,508,2,726,19,3/27,38.21,8.57,26.7,-,-,6,-, Sunrisers Hyderabad
1364,KV Sharma,2013-2016,46,46,850,1,1109,36,4/38,30.80,7.82,23.6,-,-,8,-, Sunrisers Hyderabad
1365,Shashank Singh,2022-2022,10,2,12,-,20,-,-,0.00,10.00,-,-,-,3,-, Sunrisers Hyderabad
1366,R Shepherd,2022-2022,3,3,54,-,98,3,2/42,32.66,10.88,18.0,-,-,-,-, Sunrisers Hyderabad
1367,BB Sran,2016-2017,15,15,309,-,442,14,3/28,31.57,8.58,22.0,-,-,2,-, Sunrisers Hyderabad
1368,B Stanlake,2018-2018,4,4,96,-,130,5,2/21,26.00,8.12,19.2,-,-,-,-, Sunrisers Hyderabad
1369,DW Steyn,2013-2015,37,37,857,3,985,33,3/11,29.84,6.89,25.9,-,-,12,-, Sunrisers Hyderabad
1370,J Suchith,2021-2022,7,7,150,-,206,7,2/12,29.42,8.24,21.4,-,-,2,-, Sunrisers Hyderabad
1371,AP Tare,2016-2016,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Sunrisers Hyderabad
1372,X Thalaivan Sargunam,2013-2013,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Sunrisers Hyderabad
1373,RA Tripathi,2022-2024,33,-,0,-,-,-,-,0.00,-,-,-,-,10,-, Sunrisers Hyderabad
1374,Umran Malik,2021-2024,26,26,493,1,772,29,5/25,26.62,9.39,17.0,1,-,6,-, Sunrisers Hyderabad
1375,JD Unadkat,2024-2024,11,11,187,-,319,8,3/30,39.87,10.23,23.3,-,-,-,-, Sunrisers Hyderabad
1376,Y Venugopal Rao,2014-2014,7,2,12,-,16,-,-,0.00,8.00,-,-,-,2,-, Sunrisers Hyderabad
1377,GH Vihari,2013-2015,22,5,36,-,38,1,1/5,38.00,6.33,36.0,-,-,6,-, Sunrisers Hyderabad
1378,Virat Singh,2021-2021,3,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Sunrisers Hyderabad
1379,Vivrant Sharma,2023-2023,3,2,18,-,37,-,-,0.00,12.33,-,-,-,-,-, Sunrisers Hyderabad
1380,V Viyaskanth,2024-2024,3,3,60,-,86,1,1/37,86.00,8.60,60.0,-,-,2,-, Sunrisers Hyderabad
1381,DA Warner,2014-2021,95,1,1,-,2,-,-,0.00,12.00,-,-,-,46,-, Sunrisers Hyderabad
1382,Washington Sundar,2022-2024,18,17,304,-,458,10,3/28,45.80,9.03,30.4,-,-,3,-, Sunrisers Hyderabad
1383,CL White,2013-2013,13,2,12,-,16,1,1/14,16.00,8.00,12.0,-,-,10,-, Sunrisers Hyderabad
